x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2.84,2.921,3.821,4.565,2.105,1.879,5.008,2.082,3.315,5.227
1.487,1.171,1.473,2.861,1.19,3.738,2.289,1.526,1.508,2.213
3.381,2.176,4.617,3.27,1.721,2.13,3.755,1.461,3.808,3.735
1.952,1.178,2.002,3.559,1.817,1.135,1.338,1.202,1.302,2.126
3.765,3.699,3.469,3.291,1.62,2.915,2.779,2.342,2.929,3.701
1.486,2.163,2.296,2.148,2.399,1.923,2.899,1.039,1.531,2.705
2.226,4.408,4.166,NaN,2.752,3.541,2.794,3.94,4.089,4.11
1.791,2.037,2.536,3.284,1.195,2.112,2.448,1.58,2.291,2.485
5.683,4.319,3.326,2.789,5.326,3.577,3.063,3.195,4.32,2.786
1.947,1.808,2.267,2.904,1.344,2.842,3.126,1.665,1.916,3.276
2.742,2.882,4.596,4.832,3.221,2.471,2.681,1.868,3.162,4.764
2.954,1.884,1.671,1.277,1.605,1.356,1.484,1.349,0.979,2.785
2.676,2.449,2.009,2.806,3.229,2.96,0.689,2.052,2.539,0.923
2.133,1.98,2.934,3.119,2.136,2.233,1.577,2.367,1.994,2.0
3.032,2.829,3.042,NaN,1.917,2.866,1.884,1.927,1.991,NaN
6.38,4.073,3.967,NaN,3.132,3.267,3.193,2.632,4.837,4.478
2.195,2.13,2.453,6.097,1.844,2.971,2.797,1.298,3.435,5.316
6.195,3.522,4.691,NaN,3.564,4.355,5.58,4.595,2.522,6.812
3.396,3.354,4.148,4.259,1.876,3.091,1.844,2.29,2.642,5.531
NaN,2.802,6.237,3.683,4.428,3.164,3.571,2.506,2.514,3.972
3.628,5.484,4.742,4.204,2.125,3.308,4.924,1.882,2.979,4.196
2.691,NaN,2.388,2.842,1.684,2.324,3.339,3.163,3.5,NaN
2.859,1.458,7.405,5.387,3.012,2.099,2.268,3.338,2.802,4.94
5.055,1.338,2.521,3.302,1.72,5.044,3.27,3.24,2.061,4.147
2.403,2.681,2.532,3.523,1.947,2.515,2.404,2.649,2.77,6.404
3.859,3.056,4.66,4.042,3.244,4.042,4.459,4.193,3.86,2.371
2.146,0.858,2.177,1.606,1.101,1.971,1.176,1.217,1.774,4.937
3.667,0.923,2.117,3.107,1.508,2.251,2.852,1.249,1.867,3.683
1.003,2.371,1.116,1.179,1.084,1.011,1.067,0.961,1.49,1.14
2.499,2.418,2.045,3.043,1.995,1.844,2.26,2.243,2.787,4.971
1.483,4.34,2.597,3.41,1.78,2.02,5.748,1.339,1.202,2.851
3.667,0.923,2.117,3.107,1.508,2.251,2.852,1.249,1.867,3.683
1.024,0.937,0.972,1.146,1.272,0.961,0.878,0.921,0.882,0.936
3.626,2.571,2.829,5.443,1.924,3.835,3.741,1.329,2.211,5.284
2.531,1.386,1.931,1.986,1.94,2.54,2.509,1.754,2.851,5.476
6.194,5.69,6.812,5.515,2.107,3.147,3.724,4.882,3.307,NaN
3.619,2.945,4.06,5.466,3.484,3.739,5.932,5.586,4.009,NaN
3.059,1.563,4.349,3.588,2.884,2.82,2.22,2.905,4.379,5.172
5.059,5.882,2.468,4.699,3.284,2.963,3.724,2.794,3.266,3.893
2.699,6.099,5.972,6.33,4.276,7.267,NaN,4.595,4.379,4.363
1.993,1.201,1.54,2.322,1.669,2.003,1.62,1.977,2.45,2.532
5.011,1.779,3.036,5.899,2.043,3.132,3.26,2.506,3.954,4.636
5.869,4.281,1.8,3.059,2.269,2.876,NaN,2.197,1.985,3.334
5.46,3.219,3.717,3.504,3.02,NaN,3.86,2.842,4.698,3.676
2.747,4.427,3.884,6.731,2.164,2.932,3.605,2.977,5.851,NaN
1.707,4.235,3.452,3.138,2.244,2.795,3.051,2.298,2.794,5.867
2.674,2.083,2.508,3.779,2.789,3.179,3.692,2.642,3.483,3.771
3.939,5.578,2.326,3.867,2.709,5.853,2.829,2.755,2.491,NaN
3.787,1.602,4.629,6.916,3.989,3.82,3.82,2.858,2.411,3.581
5.467,1.841,3.926,5.955,3.5,2.118,2.044,1.506,3.3,3.339
2.569,5.595,3.069,4.691,1.437,2.906,1.837,2.018,3.443,5.004
2.962,2.963,2.293,2.977,2.356,2.052,2.331,2.971,2.715,2.531
1.883,2.658,3.109,2.802,2.18,1.747,1.884,1.418,3.579,2.644
3.392,4.32,3.67,4.059,3.887,4.106,5.159,3.074,3.906,5.792
2.97,2.922,7.102,5.292,3.708,3.212,4.332,2.236,3.551,2.585
6.643,4.101,5.263,2.394,4.479,1.941,4.034,1.474,5.125,4.807
2.415,1.401,4.243,1.658,1.866,3.368,2.602,1.351,3.219,2.378
4.517,3.088,2.861,2.946,1.56,1.498,2.965,4.199,2.451,5.443
5.281,6.815,5.951,6.438,3.617,3.262,6.129,5.688,3.962,NaN
1.851,0.735,1.316,2.438,1.712,2.173,1.853,0.918,1.376,1.63
2.142,6.241,5.857,3.059,6.733,2.1,5.386,3.985,3.806,5.678
3.726,6.246,2.517,4.806,4.196,3.822,3.722,2.32,4.746,2.923
2.352,2.312,3.683,3.379,2.694,2.144,4.428,5.637,4.939,4.384
2.734,2.594,2.886,5.203,2.019,2.678,2.421,3.302,3.013,4.143
3.897,NaN,2.381,3.811,1.883,1.735,2.351,1.046,2.733,2.739
2.075,1.733,NaN,3.352,2.941,2.723,4.782,1.764,2.062,4.744
5.288,3.496,6.41,3.71,4.261,2.419,4.084,2.489,4.434,4.89
4.324,5.323,5.349,4.561,5.335,7.059,3.724,NaN,6.299,NaN
5.862,2.973,3.427,3.28,NaN,3.464,3.607,3.071,3.724,6.721
4.763,4.338,3.033,1.201,1.419,2.427,3.246,2.105,4.79,3.67
4.215,3.403,6.281,4.494,4.2,2.397,3.125,3.472,1.905,4.764
2.224,2.882,2.469,6.539,5.308,1.541,4.412,3.333,3.621,5.894
2.218,2.171,6.445,2.925,2.258,3.601,4.025,2.239,3.109,4.699
2.109,7.018,4.232,4.536,1.652,2.671,2.23,1.64,2.948,2.959
2.312,1.312,2.97,3.436,2.077,1.528,2.128,1.329,1.848,6.894
2.3,1.536,3.45,1.683,3.453,2.365,3.755,1.152,5.003,3.559
3.077,3.233,5.18,4.967,2.073,1.882,3.596,2.699,5.11,4.278
5.055,4.711,7.125,5.497,1.751,1.965,2.267,1.938,6.578,3.506
2.101,2.198,3.848,5.396,1.871,3.301,5.091,1.273,2.536,3.317
3.833,1.449,2.144,1.678,1.842,1.579,2.88,1.865,1.331,3.551
1.569,NaN,4.08,NaN,2.056,5.43,2.711,3.55,2.698,5.742
1.942,1.244,1.319,1.447,1.893,1.842,3.3,1.404,1.579,6.202
4.686,1.007,5.537,4.958,2.453,2.989,2.103,1.213,3.118,2.047
5.855,4.424,6.017,5.823,4.66,2.807,3.897,2.269,NaN,3.3
3.764,1.657,1.125,4.567,2.554,2.399,2.778,4.588,2.114,2.948
4.491,1.571,3.968,6.527,2.403,2.509,4.143,2.108,3.615,4.948
3.636,2.128,2.151,5.638,1.525,1.776,1.878,1.709,2.414,4.541
2.132,0.724,1.819,1.145,1.051,1.744,3.034,1.93,3.119,2.642
2.371,1.32,2.894,6.635,2.796,1.357,3.431,1.292,3.933,3.314
2.144,1.706,5.366,3.218,2.659,3.258,3.288,2.366,3.755,4.664
3.108,5.265,2.494,5.482,2.099,1.692,2.493,1.973,2.488,2.971
3.859,2.093,2.477,4.732,3.904,3.52,5.11,1.855,1.627,4.748
4.129,6.254,4.539,4.609,4.481,2.913,6.212,3.078,2.059,7.262
